year,population,pop_white,pop_black
1940,131669275,118214870,12865518
1930,122775046,110286740,11891143
1920,105710620,94820915,10463131
1910,91972266,81731957,9827763
1900,75994575,66809196,8833994
1890,62947714,55101258,7488676
1890,62622250,54983890,7470040
1880,50155783,43402970,6580793
1870,38558371,33589377,4880009
